M/Z,EXPERIMENTAL_M/Z,INTENSITY,SAMPLE,FILE
1761.78747,1761.78,49776.723,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0312_ug_ul,186.csv
1761.78747,1761.77,345199.94,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p5_ug_ul,31.csv
1761.78747,1761.777,16297.806,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0625_ug_ul,116.csv
1761.78747,1761.8008,406773.7,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_1_ug_ul,71.csv
1761.78747,1761.7941,40746.055,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p5_ug_ul,221.csv
1761.78747,1761.774,525117.9,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p5_ug_ul,306.csv
1761.78747,1761.7789,49472.035,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_p0625_ug_ul,116.csv
1761.78747,1761.791,27209.613,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p125_ug_ul,66.csv
1761.78747,1761.7894,53599.254,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0625_ug_ul,86.csv
1761.78747,1761.7711,186261.94,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0156_ug_ul,101.csv
1761.78747,1761.8,74690.3,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p0625_ug_ul,191.csv
1761.78747,1761.7972,35534.613,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p25_ug_ul,51.csv
1761.78747,1761.7781,95195.32,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p25_ug_ul,331.csv
1761.78747,1761.7782,270746.34,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_1_ug_ul_rerun,111.csv
1761.78747,1761.801,100913.414,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p25_ug_ul,316.csv
1761.78747,1761.7921,67671.54,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p25_ug_ul,111.csv
1761.78747,1761.785,13189.961,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p0156_ug_ul,236.csv
1761.78747,1761.774,31085.89,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_1_ug_ul,236.csv
1761.78747,1761.779,19910.418,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p0156_ug_ul,131.csv
1761.78747,1761.7964,54487.164,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_2_p0625_ug_ul,131.csv
1761.78747,1761.7941,100918.92,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p0625_ug_ul,56.csv
1761.78747,1761.7883,1141340.0,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p5_ug_ul,21.csv
1761.78747,1761.7927,181988.7,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p25_ug_ul,176.csv
1761.78747,1761.7711,39309.06,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0312_ug_ul,81.csv
1761.78747,1761.803,88779.086,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p5_ug_ul,316.csv
1761.78747,1761.803,20038.05,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p0625_ug_ul,291.csv
1761.78747,1761.7971,49417.27,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p0312_ug_ul,271.csv
1761.78747,1761.7981,31066.041,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p0312_ug_ul,281.csv
1761.78747,1761.8044,128692.875,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p0312_ug_ul,131.csv
1761.78747,1761.781,197060.92,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p5_ug_ul,191.csv
1761.78747,1761.7927,937046.6,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0078_ug_ul,31.csv
1761.78747,1761.802,99515.734,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p25_ug_ul,321.csv
1761.78747,1761.779,97822.36,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p125_ug_ul,146.csv
1761.78747,1761.781,25964.742,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p5_ug_ul,321.csv
1761.78747,1761.7993,72403.53,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_1_p125_ug_ul,196.csv
1761.78747,1761.7731,47241.23,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p0312_ug_ul,146.csv
1761.78747,1761.7921,95430.805,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p0312_ug_ul,31.csv
1761.78747,1761.791,7340.46,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p0078_ug_ul,31.csv
1761.78747,1761.77,34680.836,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0312_ug_ul,71.csv
1761.78747,1761.7971,681602.94,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_1_ug_ul,231.csv
1761.78747,1761.775,24489.916,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p0078_ug_ul,331.csv
1761.78747,1761.8018,40278.05,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p0625_ug_ul,156.csv
1761.78747,1761.7909,224273.89,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p25_ug_ul,171.csv
1761.78747,1761.802,56915.785,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_p125_ug_ul,226.csv
1761.78747,1761.786,24989.062,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_3_1_ug_ul,301.csv
1761.78747,1761.8014,224495.7,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_p5_ug_ul,111.csv
1761.78747,1761.781,114467.87,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p125_ug_ul,161.csv
1761.78747,1761.803,24423.256,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p0625_ug_ul,21.csv
1761.78747,1761.801,582571.6,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_1_ug_ul,216.csv
1761.78747,1761.7988,498693.22,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_3_1_ug_ul,161.csv
1761.78747,1761.7731,342540.4,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p25_ug_ul,216.csv
1761.78747,1761.786,125137.17,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p0156_ug_ul,131.csv
1761.78747,1761.7881,57151.04,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_1_p0078_ug_ul,131.csv
1761.78747,1761.8046,69271.69,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_2_p0312_ug_ul,146.csv
1761.78747,1761.7781,608087.6,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p5_ug_ul,256.csv
1761.78747,1761.7721,36812.785,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p0156_ug_ul,156.csv
1761.78747,1761.77,43570.93,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p0078_ug_ul,176.csv
1761.78747,1761.7891,20037.125,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p0156_ug_ul_rerun,171.csv
