SAMPLE,1189.48879-M/Z,1190.49607-M/Z,1296.68481-M/Z,1761.78747-M/Z,324.92669-M/Z,397.50357-M/Z,432.89982-M/Z,441.20236-M/Z,587.93404-M/Z,595.75169-M/Z,648.84607-M/Z,881.39739-M/Z
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_1_ug_ul,51932.504,117338.11,68586.76,0.0,0.0,0.0,756214.25,132593.83,522293.25,173107.34,837107.0,4742331.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p0078_ug_ul,51335.023,30031.635,129284.61,43570.93,0.0,0.0,918666.4,378126.9,0.0,26299.045,844028.3,112018.07
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p0156_ug_ul_rerun,103157.305,74126.766,207201.02,20037.125,71317.77,14159.137,1975307.0,263849.62,47111.594,21968.484,2067080.1,173483.67
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p0312_ug_ul_rerun,65757.48,97694.586,50252.28,0.0,8878.121,7827.209,175548.52,264341.16,93688.55,82520.414,126637.88,303098.47
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p0625_ug_ul,59772.06,132374.25,78581.59,100918.92,0.0,24005.957,602054.25,283352.12,119687.97,50694.73,990578.5,646802.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p125_ug_ul,60610.777,0.0,142754.2,114467.87,0.0,0.0,613176.7,175773.44,177444.16,84819.586,1000528.0,681824.3
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p25_ug_ul,71809.125,128312.234,0.0,342540.4,0.0,92144.78,884020.06,481266.12,463564.97,327033.0,1156822.5,1961102.2
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p5_ug_ul,136271.56,119913.75,283795.97,345199.94,0.0,0.0,869106.5,0.0,445436.4,0.0,1144986.8,4223924.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_1_ug_ul,150207.83,98928.555,532571.0,0.0,0.0,0.0,1382039.4,409717.6,966225.25,110317.555,2640068.0,5961632.0
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p0078_ug_ul,64571.676,19183.725,24224.31,24179.604,0.0,0.0,506644.16,178070.73,65649.64,40018.42,681821.6,125077.92
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p0156_ug_ul,43193.883,73522.02,103346.75,13189.961,0.0,7571.5215,815968.3,251989.75,14793.13,0.0,1114225.2,233597.9
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p0312_ug_ul,97937.805,96233.29,19981.184,31066.041,0.0,0.0,1112415.4,273261.97,65739.08,0.0,1541004.4,383156.8
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p0625_ug_ul,61110.617,124912.4,73206.87,128541.14,0.0,0.0,1347338.9,0.0,83145.32,0.0,1161093.6,548943.6
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p125_ug_ul,41088.07,202451.84,55528.203,115069.44,0.0,21934.402,693365.44,344957.53,150479.64,46847.242,1054313.1,1391208.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p25_ug_ul,116968.484,69488.484,90806.04,65891.17,0.0,0.0,613951.7,389851.84,274661.94,74230.88,875045.44,2583868.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_2_p5_ug_ul,0.0,138662.03,27565.814,197060.92,0.0,0.0,894231.0,0.0,461950.2,150434.83,751394.5,3441656.8
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_1_ug_ul,143489.06,78292.125,193734.16,256032.12,0.0,0.0,480895.0,458313.3,0.0,59651.473,837880.9,4475333.5
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0078_ug_ul,92966.06,66066.73,187707.53,206830.06,0.0,0.0,494024.7,0.0,70892.73,0.0,569988.3,1302413.9
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0156_ug_ul,141411.83,75474.56,559966.9,186261.94,36349.402,0.0,1758926.0,318412.88,161555.25,119946.34,1833236.8,1978191.8
C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0312_ug_ul,53020.664,53168.07,124294.195,34680.836,0.0,0.0,1207225.6,149554.42,39826.37,23814.412,1826985.9,468389.94
