M/Z,EXPERIMENTAL_M/Z,INTENSITY,SAMPLE,FILE
1761.78747,1761.78,49776.723,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0312_ug_ul,186.csv
1761.78747,1761.7731,215158.92,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p5_ug_ul,176.csv
1761.78747,1761.77,187919.28,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p5_ug_ul,256.csv
1761.78747,1761.791,59039.09,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p5_ug_ul,266.csv
1761.78747,1761.77,345199.94,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_1_p5_ug_ul,31.csv
1761.78747,1761.777,16297.806,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0625_ug_ul,116.csv
1761.78747,1761.7831,12086.948,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0625_ug_ul,156.csv
1761.78747,1761.784,13319.442,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p0625_ug_ul,246.csv
1761.78747,1761.7911,254087.14,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_1_ug_ul,131.csv
1761.78747,1761.8019,404856.75,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_1_ug_ul,136.csv
1761.78747,1761.7904,283474.16,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_1_ug_ul,146.csv
1761.78747,1761.8037,292740.34,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_1_ug_ul,151.csv
1761.78747,1761.7987,234548.2,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_1_ug_ul,196.csv
1761.78747,1761.7981,402138.22,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_1_ug_ul,21.csv
1761.78747,1761.8008,406773.7,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_1_ug_ul,71.csv
1761.78747,1761.7971,228693.23,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_1_ug_ul,81.csv
1761.78747,1761.7941,40746.055,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p5_ug_ul,221.csv
1761.78747,1761.78,58193.79,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p5_ug_ul,196.csv
1761.78747,1761.79,29008.191,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p5_ug_ul,291.csv
1761.78747,1761.774,525117.9,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p5_ug_ul,306.csv
1761.78747,1761.77,71539.75,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p5_ug_ul,6.csv
1761.78747,1761.7789,49472.035,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B1_1_p0625_ug_ul,116.csv
1761.78747,1761.782,17451.453,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p125_ug_ul,1.csv
1761.78747,1761.791,27209.613,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_2_p125_ug_ul,66.csv
1761.78747,1761.799,42966.508,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0625_ug_ul,101.csv
1761.78747,1761.7866,50884.38,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0625_ug_ul,151.csv
1761.78747,1761.7894,53599.254,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_p0625_ug_ul,86.csv
1761.78747,1761.7711,186261.94,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0156_ug_ul,101.csv
1761.78747,1761.781,22496.225,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0156_ug_ul,306.csv
1761.78747,1761.792,21964.363,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0156_ug_ul,46.csv
1761.78747,1761.7871,73291.83,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B1_3_p0156_ug_ul,71.csv
1761.78747,1761.8,74690.3,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p0625_ug_ul,191.csv
1761.78747,1761.8041,52329.465,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_3_p0625_ug_ul,321.csv
1761.78747,1761.7972,35534.613,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B8_1_p25_ug_ul,51.csv
1761.78747,1761.7991,23643.896,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p25_ug_ul,101.csv
1761.78747,1761.801,16036.087,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p25_ug_ul,111.csv
1761.78747,1761.784,41305.668,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p25_ug_ul,251.csv
1761.78747,1761.7781,95195.32,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B8_1_p25_ug_ul,331.csv
1761.78747,1761.7782,270746.34,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_OT_B2_3_1_ug_ul_rerun,111.csv
1761.78747,1761.801,100913.414,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p25_ug_ul,316.csv
1761.78747,1761.7891,79643.01,C:/temp/MERCK_AUGUST\20220817_Jenny_Merck_P237_E6_DI_IT_B2_2_p25_ug_ul,41.csv
